Happened,Matters,Found,Link,timestamp,Publication Name,topics,sentiment,emotions
Japanese male fire sergeant suspended for one month for forcing colleagues to play homemade board games at work.,"As a game designer, it's hard to get people to play the games we make, so it's kinda funny but sad that he was suspended for this.",My prof told me in class,https://mainichi.jp/english/articles/20260414/p2a/00m/0na/021000c,2026-04-23T03:54:57.000Z,Mainichi Shimbun,"['Technology', 'Culture', 'International']",Bad News,"['Amused', 'Sad']"
"D4vid was charged with murdering and sexually abusing the minor, Celeste, and he is stating he is not guilty. The reason why the information took so long to be announced was because her body was badly decomposed.","D4vid gained a bigger audience after appearing in SZA's tour as well as having one of his songs in the Invincible sound track. His involvement in the case has been a huge detriment to his musical career, leaving a lot of fans feeling distrustful, disgusted, and surprised of D4vid.",My BF told me that there was more information regarding the case released,https://www.nytimes.com/2026/04/20/arts/music/d4vd-murder-charges-celeste-rivas-hernandez.html,2026-04-21T19:23:53.000Z,New York Times,"['Crime', 'Culture']",Good News,['Surprised']
"NYC mayor, Mamdani, pushed a new tax on luxury second homes because of the rising wealth gap and housing costs.","Housing has become less and less affordable, so this tax will incentivize owners to sell, rent, or pay the tax which will help NYC afford other services.",Instagram Reels @zohrankmamdani,https://www.nytimes.com/2026/04/18/nyregion/new-york-inequality-second-home-tax.html?smid=nytcore-android-share,2026-04-19T03:43:55.000Z,New York Times,"['Politics', 'Local', 'Social Issues', 'Personal Finance']",Good News,['Hopeful']
Designer Jake Burt has been selling unique hoodies since April 2026 only in his small shop in London to create the idea of scarcity and remind people of in person shopping,A lot of people are reliant on online shopping--buying smth and then getting it the next day. This shop is an ode to in person shopping while making cool clothes.,NYT,https://www.nytimes.com/2026/04/15/style/jake-burt-hoodie.html?smid=nytcore-android-share,2026-04-18T03:55:12.000Z,New York Times,['Culture'],Good News,['Curious']
"Popular music artist, D4vid has been detained April 16th by LAPD in relation to Celeste Hernandez's death.","D4vid's case blew up on social media, where many content creators had already ""solved"" this case, and a lot of people are confused as to why it's took the police so long to charge D4vid, so him finally being detained shows they will hopefully soon release more official information about the case.","My bf mentioned to me saying ""DAVID FINALLY GOT ARRESTED""",https://www.nytimes.com/2026/04/16/arts/music/d4vd-charged-teen-death-tesla.html?smid=nytcore-android-share,2026-04-17T03:28:55.000Z,New York Times,"['Crime', 'Culture']",Good News,"['Hopeful', 'Frustrated']"
"Trump made it harder for people to file taxes by killing Direct File, produced by the Biden administration, because he felt that people didn't use it and it cost a lot to maintain.",Making it harder for people to file taxes affects lower income households because of possible language barriers and costs--these households are less likely to be able to afford tax refund programs like TurboTax.,NYT,https://www.nytimes.com/2026/04/04/opinion/taxes-trump-direct-file-tax-day-april.html,2026-04-16T00:21:07.000Z,New York Times,"['Politics', 'Technology', 'Personal Finance']",Bad News,['Frustrated']
"After man stabbed 3 people in Grand Central NYC, he was shot and killed by NYPD -- leaving Grand Central empty despite it's usual hustle and bustle.",People are rethinking whether they want to commute anymore and many people are associating the crime with Mamdani's recent election and blaming the police force.,Instagram Reels @big1apple1vibes,https://www.instagram.com/reel/DW_9lDgEXkC/?igsh=dnlqMjNpemVwMnc=,2026-04-14T15:38:48.000Z,Instagram,"['Crime', 'Local']",Bad News,"['Concerned', 'Frustrated']"
"Ben Riley tried to convince his father that AI was misleading him about cancer advice, but his father didn't listen because he felt the knowledge AI provided was empowering.","There have been increased reports where people listen to AI, when it's medical advice is not sound. A lot of the times it makes up statistics and people aren't able to tell, leading them to make mistakes and reject professional advice.",NYT,https://www.nytimes.com/2026/04/13/well/ai-chatbots-cancer.html?smid=nytcore-android-share,2026-04-14T03:55:58.000Z,New York Times,"['Technology', 'Health']",Bad News,['Concerned']
"Jenny Xu, CEO of Talofa Games, shares her experience of making many games and her inspiration behind them, as well as how she got into the game development industry in the first place.","Since I'm graduating from Parsons DT soon, I've been curious how people get into the industry, especially women since this industry is notorious for undermining women.",I saw it on the Google Play homepage randomly as I was looking for a new app to download,https://play.google.com/store/apps/editorial?id=mc_games_editorialevergreen_indiedevinterviewseries_talofa_fcp,2026-04-13T03:37:38.000Z,Google Play,"['Technology', 'Business']",Good News,['Curious']
"There have been many incidents where teens (""conquesters"" and ""foamers"") have been carousing NYC trains using modded skeleton keys which are easily accessible and cheap, this is primarily due to their love of trains and their hope to steal MTA equipment.","Teens, who aren't even eligible to drive a car yet, should not be able to have access to drive trains, and this puts a lot of civilians at risk because of MTA's negligence.",NYT,https://www.nytimes.com/2026/04/10/nyregion/nyc-subway-conquesting-joyride.html,2026-04-10T23:06:08.000Z,New York Times,"['Technology', 'Local']",Bad News,['Concerned']
"KJ was born with a rare genetic disease, but CRISPR technology was able to get mRNA into his liver to save him.","As technology becomes more advanced, editing baby's genes can be life saving but also cause ethical concerns where parents may take advantage of this technology to change genes based on what the parents want. While technology hasn't reached this point yet, because it's very expensive and risky, this could be a future issue that only rich people have access to.",NYT,https://www.nytimes.com/2026/04/09/opinion/genetic-editing-diseases-health-care.html,2026-04-09T18:16:18.000Z,New York Times,"['Technology', 'Health', 'Personal Finance']",Good News,"['Concerned', 'Hopeful']"
"A woman shares her experience of supporting her husband while he can't find a job and is trying to get an online masters in CS because he hopes it will open him to more opportunities, but he should really be focusing on his career and what will happen after his degree.","As a senior at Parsons, unemployment is near, and many people can't find jobs either. I'm wondering what more I can do and what it will mean for my relationship while searching for a job.",NYT,https://www.nytimes.com/2026/04/04/business/my-husband-cant-get-a-job-should-i-divorce-him.html,2026-04-07T19:04:53.000Z,New York Times,"['Technology', 'Education']",Good News,['Curious']
Many people's closets are a mess because they dont utilize vertical space and they don't use gadgets to help them organize.,We live in NY and closets tends to be pretty small despite needing lots of clothes because people in NY are known for being fashionable and well put together. I was hoping this article would provide a lot of new and unique products but it was mostly pretty obvious items.,NYT,https://www.nytimes.com/wirecutter/reviews/closet-organizing-ideas/,2026-04-07T03:03:16.000Z,New York Times,['Culture'],Good News,['Curious']
